Code zone,Zone,Code Produit,Produit,Code Élément,Élément,Unité,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F
"3","Albanie","1107","Anes","5111","Réserves","Tête","57100.000000","","58400.000000","","59500.000000","","57900.000000","","59700.000000","","59500.000000","","60000.000000","F","60000.000000","F","60000.000000","F","60000.000000","F","70000.000000","F","70000.000000","F","75000.000000","F","75000.000000","F","78000.000000","F","78000.000000","F","78000.000000","F","78000.000000","F","80000.000000","F","80000.000000","F","85000.000000","F","85000.000000","F","90000.000000","F","90000.000000","F","90000.000000","F","95000.000000","F","95000.000000","F","98000.000000","F","100000.000000","F","104400.000000","","105600.000000","","103600.000000","","113700.000000","","113000.000000","F","113000.000000","F","113000.000000","F","113000.000000","F","110000.000000","*","120000.000000","*","120000.000000","*","105000.000000","*","96000.000000","*","88000.000000","*","81000.000000","*","77500.000000","*","68000.000000","*","64000.000000","*","60000.000000","*","56000.000000","*","55000.000000","*","56000.000000","*","56000.000000","*","53000.000000","*","53500.000000","*","53199.000000","Im","50317.000000","Im"
"3","Albanie","866","Bovins","5111","Réserves","Tête","420200.000000","","414900.000000","","407100.000000","","401500.000000","","427100.000000","","426400.000000","","434800.000000","","420000.000000","","416400.000000","","413700.000000","","407600.000000","","396500.000000","","412000.000000","F","440000.000000","F","450000.000000","F","500000.000000","F","520000.000000","F","570000.000000","F","602000.000000","F","606000.000000","","610000.000000","F","610000.000000","F","620000.000000","F","610000.000000","F","590000.000000","","618000.000000","","671000.000000","","695000.000000","","699000.000000","","632600.000000","","640000.000000","","616000.000000","","654700.000000","","820000.000000","","840000.000000","","806000.000000","","771000.000000","","705000.000000","","720000.000000","","728000.000000","","708400.000000","","690000.000000","","684000.000000","","654000.000000","","655000.000000","","634000.000000","","577000.000000","","541000.000000","","494000.000000","","493000.000000","","492000.000000","","498018.000000","","498131.000000","","499690.000000","","504200.000000","","496986.000000",""
"3","Albanie","946","Buffles","5111","Réserves","Tête","6600.000000","","5600.000000","","5300.000000","","4800.000000","","4700.000000","","4600.000000","F","3900.000000","","4200.000000","","3900.000000","","3300.000000","","2400.000000","","1900.000000","","2000.000000","*","1900.000000","F","1800.000000","F","1800.000000","F","1800.000000","F","1700.000000","F","1700.000000","F","1700.000000","F","1800.000000","F","1800.000000","F","2000.000000","F","2000.000000","F","2000.000000","F","2000.000000","F","2000.000000","F","2000.000000","F","1900.000000","F","1700.000000","","1700.000000","","1700.000000","","1700.000000","","110.000000","","110.000000","","120.000000","","120.000000","","120.000000","","120.000000","","120.000000","","120.000000","","120.000000","","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","120.000000","F","106.000000","Im","93.000000","Im"
"3","Albanie","1068","Canards","5112","Réserves","1000 têtes",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","360.000000","*","360.000000","*","365.000000","*","335.000000","*","305.000000","*","313.000000","*","350.000000","*","290.000000","*","415.000000","*","404.000000","*","527.000000","*","528.000000","*","500.000000","","800.000000","*","1000.000000","*","1100.000000","*","1100.000000","*","1000.000000","F","1000.000000","F","1000.000000","F","1000.000000","F","1009.000000","Im","1072.000000","Im"
"3","Albanie","1016","Caprins","5111","Réserves","Tête","1104300.000000","","1142500.000000","","1119400.000000","","1119900.000000","","1199300.000000","","1174700.000000","","1211400.000000","","1022300.000000","","938600.000000","","883900.000000","","782000.000000","","726100.000000","","705300.000000","F","674000.000000","F","672000.000000","F","670000.000000","F","668000.000000","F","665000.000000","F","700000.000000","F","811000.000000","","830000.000000","F","850000.000000","F","875000.000000","F","895000.000000","F","864000.000000","","918000.000000","","979000.000000","","1076000.000000","","1153000.000000","","1144000.000000","","1193900.000000","","1234200.000000","","1293600.000000","","1717000.000000","","1650000.000000","","1250000.000000","","1148000.000000","","1051000.000000","","1120000.000000","","1104000.000000","","1026900.000000","","929000.000000","","1015000.000000","","944000.000000","","941000.000000","","940000.000000","","876000.000000","","820000.000000","","772000.000000","","775000.000000","","759000.000000","","810133.000000","","867000.000000","","904214.000000","","932000.000000","","940806.000000",""
"3","Albanie","1096","Chevaux","5111","Réserves","Tête","48900.000000","","48700.000000","","46400.000000","","45200.000000","","44200.000000","","44000.000000","","43800.000000","F","43500.000000","F","43500.000000","F","43500.000000","F","43000.000000","F","42000.000000","F","42000.000000","F","42000.000000","F","43000.000000","F","43000.000000","F","43000.000000","F","42500.000000","F","42500.000000","F","45800.000000","*","48000.000000","F","50000.000000","F","60000.000000","F","65000.000000","F","64000.000000","F","62000.000000","F","61100.000000","F","60100.000000","F","58100.000000","F","57200.000000","","55800.000000","","44100.000000","","58200.000000","","62000.000000","","71000.000000","","74000.000000","","70000.000000","","61000.000000","","63000.000000","","63000.000000","","67000.000000","","65000.000000","","63000.000000","","58000.000000","","53000.000000","","51000.000000","","46000.000000","","43000.000000","","38000.000000","","35000.000000","","28400.000000","","33986.000000","","31580.000000","","31727.000000","","31000.000000","","31729.000000",""
"3","Albanie","1079","Dindes","5112","Réserves","1000 têtes",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","592.000000","*","606.000000","*","611.000000","*","562.000000","*","513.000000","*","500.000000","*","600.000000","*","570.000000","*","690.000000","*","674.000000","*","879.000000","*","880.000000","*","800.000000","","1100.000000","*","1300.000000","*","1300.000000","*","1300.000000","*","1300.000000","F","726.000000","","699.000000","","755.000000","","574.000000","","417.000000",""
"3","Albanie","1110","Mulets","5111","Réserves","Tête","17000.000000","","17600.000000","","18600.000000","","19000.000000","","19600.000000","","19500.000000","","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19500.000000","F","19600.000000","","19500.000000","","20400.000000","","25600.000000","","25000.000000","F","25000.000000","F","25000.000000","F","23000.000000","F","20000.000000","*","22000.000000","*","21000.000000","*","22000.000000","*","20000.000000","*","19000.000000","*","17000.000000","*","18500.000000","*","13000.000000","*","12000.000000","*","10000.000000","*","8000.000000","*","8000.000000","*","7000.000000","*","7000.000000","*","5000.000000","*","5500.000000","*","5031.000000","Im","3490.000000","Im"
"3","Albanie","1072","Oies et pintades","5112","Réserves","1000 têtes",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M",,"M","240.000000","*","240.000000","*","244.000000","*","225.000000","*","205.000000","*","200.000000","*","250.000000","*","280.000000","*","275.000000","*","270.000000","*","352.000000","*","353.000000","*","300.000000","","500.000000","*","800.000000","*","800.000000","*","800.000000","*","800.000000","F","800.000000","F","800.000000","*","800.000000","*","802.000000","Im","895.000000","Im"
"3","Albanie","976","Ovins","5111","Réserves","Tête","1548500.000000","","1585500.000000","","1575600.000000","","1581100.000000","","1682200.000000","","1636900.000000","","1565600.000000","","1379100.000000","","1268900.000000","","1276500.000000","","1201200.000000","","1162500.000000","","1162500.000000","F","1162500.000000","F","1162500.000000","F","1162500.000000","F","1162500.000000","F","1163000.000000","F","1167000.000000","F","1254000.000000","","1275000.000000","F","1300000.000000","F","1330000.000000","F","1350000.000000","F","1318000.000000","","1346000.000000","","1432000.000000","","1525000.000000","","1592000.000000","","1646300.000000","","1696000.000000","","1796000.000000","","1911800.000000","","2460000.000000","","2480000.000000","","1982000.000000","","1858000.000000","","1872000.000000","","1941000.000000","","1939000.000000","","1905800.000000","","1844000.000000","","1903000.000000","","1794000.000000","","1760000.000000","","1830000.000000","","1853000.000000","","1800000.000000","","1768000.000000","","1806000.000000","","1758000.000000","","1808803.000000","","1855513.000000","","1895799.000000","","1918000.000000","","1971933.000000",""
