Masse,name,loc
926591,Afghanistan,"[33.0, 65.0]"
19132614,Albania,"[41.0, 20.0]"
6286588323,Algeria,"[28.0, 3.0]"
559239,American Samoa,"[-14.33333333, -170.0]"
847511,Andorra,"[42.5, 1.5]"
3372789484,Angola,"[-12.5, 18.5]"
21875,Anguilla,"[18.25, -63.16666666]"
3445,Antarctica,"[-90.0, 0.0]"
2096040,Antigua and Barbuda,"[17.05, -61.8]"
612871363,Argentina,"[-34.0, -64.0]"
2666356,Armenia,"[40.0, 45.0]"
2833,Aruba,"[12.5, -69.96666666]"
4126159928,Australia,"[-27.0, 133.0]"
1682902048,Austria,"[47.33333333, 13.33333333]"
2953017733,Azerbaijan,"[40.5, 47.5]"
8787707,Bahamas,"[24.25, -76.0]"
143282336,Bahrain,"[26.0, 50.55]"
182896729,Bangladesh,"[24.0, 90.0]"
1320965,Barbados,"[13.16666666, -59.53333333]"
51216786,Belarus,"[53.0, 28.0]"
35187760255,Belgium,"[50.83333333, 4.0]"
600675,Belize,"[17.25, -88.75]"
3160562,Benin,"[9.5, 2.25]"
71233,Bermuda,"[32.33333333, -64.75]"
474375,Bhutan,"[27.5, 90.5]"
54878637,Bolivia,"[-17.0, -65.0]"
24677102,Bosnia and Herzegovina,"[44.0, 18.0]"
8211,Botswana,"[-22.0, 24.0]"
4396,Bouvet Island,"[-54.43333333, 3.4]"
10806716855,Brazil,"[-10.0, -55.0]"
3008,British Indian Ocean Territory,"[-6.0, 71.5]"
60146046,British Virgin Islands,"[18.431383, -64.62305]"
282063,Brunei,"[4.5, 114.66666666]"
765817525,Bulgaria,"[43.0, 25.0]"
15497664,Burkina Faso,"[13.0, -2.0]"
995837,Burundi,"[-3.5, 30.0]"
119331121,Cambodia,"[13.0, 105.0]"
342411626,Cameroon,"[6.0, 12.0]"
6692505845,Canada,"[60.0, -95.0]"
372919,Cape Verde,"[16.0, -24.0]"
7037049,Caribbean Netherlands,"[12.18, -68.25]"
664406,Cayman Islands,"[19.5, -80.5]"
9227910,Central African Republic,"[7.0, 21.0]"
325852708,Chad,"[15.0, 19.0]"
425393281,Chile,"[-30.0, -71.0]"
5522178437,China,"[35.0, 105.0]"
323,Christmas Island,"[-10.5, 105.66666666]"
19916,Cocos (Keeling) Islands,"[-12.5, 96.83333333]"
2364729731,Colombia,"[4.0, -72.0]"
81927,Comoros,"[-12.16666666, 44.25]"
51158,Cook Islands,"[-21.23333333, -159.76666666]"
121292284,Costa Rica,"[10.0, -84.0]"
64025320,Croatia,"[45.16666666, 15.5]"
5273608,Cuba,"[21.5, -80.0]"
