cca2,,cca2,Name,Mass,dist_to_fr
AE,0,AE,ani badiane coriandre cumin carvi fenouil et genievre brut,2956,26105
AE,2,AE,haricot vert,75,5221
AE,1,AE,betterave a sucre,50,5221
AE,3,AE,riz non decortique,4,5221
AF,9,AF,orange,492462,38206
AF,12,AF,pomelo et pamplemousse,91225,32748
AF,15,AF,raisin de table,31834,60038
AF,7,AF,citron et lime,22497,21832
AF,10,AF,poire,16218,38206
AL,19,AL,autre legume a fruit n.c.a.,120752,9318
AL,16,AL,ani badiane coriandre cumin carvi fenouil et genievre brut,83263,17083
AL,35,AL,tomate,62894,3106
AL,26,AL,haricot vert,6250,6212
AL,34,AL,raisin de table,5735,1553
AM,36,AM,ble,4425,7048
AR,48,AR,graine de tournesol,117963736,309680
AR,44,AR,citron et lime,17162313,154840
AR,57,AR,poire,5685523,176960
AR,55,AR,orange,5114402,154840
AR,61,AR,pomme,2488996,77420
AS,70,AS,poire,410915,16414
AS,69,AS,orange,108303,114898
AS,71,AS,pomelo et pamplemousse,26631,65656
AS,67,AS,citron et lime,3116,82070
AS,68,AS,mandarine et clementine,1275,16414
AT,79,AT,ble,2705285,15822
AT,89,AT,mais,2063085,27249
AT,86,AT,feve de soja,1332847,17580
AT,97,AT,pomme,747382,6153
AT,80,AT,ble dur,240635,7911
AU,113,AU,graine de colza,196850095,91458
AU,116,AU,oignon,7736265,121944
AU,111,AU,carotte et navet,911081,182916
AU,122,AU,semence de betterave et de plante fourragere,457417,320103
AU,117,AU,orange,176800,15243
AZ,125,AZ,noisette,243005,40623
AZ,127,AZ,poire,178104,3693
AZ,126,AZ,orange,4800,7386
AZ,128,AZ,pomelo et pamplemousse,1200,3693
AZ,124,AZ,aubergine,130,3693
BA,130,BA,chataigne et marron,42370,1278
BA,129,BA,ani badiane coriandre cumin carvi fenouil et genievre brut,1500,2556
BD,131,BD,autre legume a fruit n.c.a.,113377,215487
BD,137,BD,piment et poivron vert (uniquement capsicum),5900,47886
BD,133,BD,citron et lime,4525,87791
BD,136,BD,haricot vert,4180,31924
BD,134,BD,concombre et cornichon,2930,71829
BE,189,BE,pomme de terre,260830808,26736
BE,153,BE,carotte et navet,72995812,6684
BE,151,BE,ble,67024660,21723
BE,197,BE,tomate,34158958,6684
BE,188,BE,pomme,31699739,13368
BF,201,BF,feve de soja,3657055,29416
BF,202,BF,haricot vert,384559,14708
BF,198,BF,aubergine,225863,33093
BF,199,BF,autre legume a fruit n.c.a.,151339,44124
BF,200,BF,epinard,1340,3677
BG,208,BG,ble,197103370,7408
BG,215,BG,mais,130618631,20372
BG,213,BG,graine de colza,110267089,5556
BG,214,BG,graine de tournesol,67290147,55560
BG,216,BG,prune et prunelle,131610,11112
BL,218,BL,autre melon,581,6661
BN,219,BN,aubergine,520,11367
BO,220,BO,citron et lime,60696,38716
BO,224,BO,semence de betterave et de plante fourragere,2390,29037
BO,222,BO,noisette,1918,9679
BO,221,BO,graine de tournesol,104,9679
BO,223,BO,noix,100,9679
BR,234,BR,feve de soja,265878010,50400
BR,233,BR,citron et lime,9576653,201600
BR,247,BR,pomme,2278291,50400
BR,244,BR,orange,1903257,50400
BR,228,BR,autre melon,1580464,100800
BV,252,BV,raisin de table,1822,11131
BY,258,BY,tomate,1200,2023
BY,255,BY,choux,447,2023
BY,253,BY,aubergine,400,2023
BY,254,BY,cerise,240,2023
BY,257,BY,piment et poivron vert (uniquement capsicum),200,2023
BZ,259,BZ,orange,223440,26118
CA,266,CA,graine de colza,357525169,109422
CA,264,CA,feve de soja,143150718,91185
CA,272,CA,pois secs,19357829,72948
CA,271,CA,pois chiches secs,692215,42553
CA,263,CA,ble dur,328491,72948
CD,275,CD,autre legume a fruit n.c.a.,71353,44568
CD,276,CD,mais,16,5571
CF,277,CF,autre legume a fruit n.c.a.,4935,9382
CG,278,CG,autre legume a fruit n.c.a.,25325,48249
CG,279,CG,mais,28,5361
CH,316,CH,semence de betterave et de plante fourragere,894405,19866
CH,296,CH,kiwi,613330,2365
CH,312,CH,pomme,499269,3784
CH,315,CH,raisin de table,211670,4257
CH,295,CH,graine de tournesol,69048,1419
CI,323,CI,feve de soja,657175,8528
CI,319,CI,autre legume a fruit n.c.a.,586662,55432
CI,327,CI,poireaux et autre alliace,141200,51168
CI,322,CI,citron et lime,17030,8528
CI,318,CI,aubergine,1533,25584
CL,357,CL,pomme,14760865,156324
CL,344,CL,kiwi,4638911,133992
CL,359,CL,raisin de table,4205022,133992
CL,346,CL,mais,3422279,401976
CL,354,CL,poire,2908153,156324
CM,364,CM,autre legume a fruit n.c.a.,810971,63504
CM,363,CM,aubergine,14992,27216
CM,368,CM,haricot vert,13473,54432
CM,370,CM,mandarine et clementine,12539,4536
CM,365,CM,carotte et navet,1880,4536
CN,406,CN,pomelo et pamplemousse,3916045,73692
CN,374,CN,ail,3507933,98256
CN,383,CN,carotte et navet,1465638,90068
CN,401,CN,poire,633360,163760
CN,388,CN,feve de soja,423089,155572
CO,419,CO,citron et lime,1592626,194488
CO,425,CO,orange,1175900,118384
CO,423,CO,mandarine et clementine,74925,67648
CO,422,CO,kiwi,34281,16912
CO,428,CO,poire,11830,8456
CR,447,CR,pasteque,677006,62363
CR,434,CR,autre legume a fruit n.c.a.,672040,249452
CR,436,CR,carotte et navet,506877,80181
CR,435,CR,autre melon,505458,71272
CR,449,CR,poire,270772,71272
CU,457,CU,orange,676967,46296
CU,458,CU,piment et poivron vert (uniquement capsicum),18006,54012
CU,455,CU,citron et lime,13227,46296
CU,459,CU,pomelo et pamplemousse,7724,7716
CU,456,CU,mandarine et clementine,491,15432
CY,468,CY,pomelo et pamplemousse,272989,17238
CY,462,CY,chataigne et marron,103970,8619
CY,470,CY,semence de betterave et de plante fourragere,48000,2873
CY,466,CY,orange,43890,5746
CY,461,CY,autre legume a fruit n.c.a.,23325,28730
CZ,485,CZ,semence de betterave et de plante fourragere,1031708,33790
CZ,481,CZ,pois secs,591964,15260
CZ,479,CZ,mais,212511,11990
CZ,477,CZ,graine de colza,136743,5450
CZ,473,CZ,ble dur,118620,1090
DE,497,DE,ble,233097786,25014
DE,517,DE,mais,131026320,39416
DE,535,DE,pomme de terre,12016448,34110
DE,523,DE,orge,10638064,18192
DE,522,DE,orange,9376240,18192
DK,566,DK,semence de betterave et de plante fourragere,9600176,124400
DK,547,DK,ble,6318686,6220
DK,563,DK,pomme de terre,2086105,6220
DK,557,DK,mais,318596,7464
DK,565,DK,semence de betterave a sucre,188626,11196
DM,572,DM,pomelo et pamplemousse,81372,67370
DM,570,DM,orange,4685,47159
DM,567,DM,abricot,2945,53896
DM,568,DM,autre legume a fruit n.c.a.,2205,80844
DM,569,DM,citron et lime,510,33685
DO,574,DO,autre legume a fruit n.c.a.,1967475,150885
DO,586,DO,tomate,1955087,86220
DO,573,DO,aubergine,531519,86220
DO,575,DO,autre melon,372299,50295
DO,583,DO,piment et poivron vert (uniquement capsicum),362336,150885
DZ,592,DZ,chataigne et marron,53400,3998
DZ,590,DZ,autre melon,51185,9995
DZ,598,DZ,oignon,20340,1999
DZ,601,DZ,piment et poivron vert (uniquement capsicum),16908,9995
DZ,602,DZ,pois verts,14157,7996
EC,607,EC,citron et lime,45604,9359
