,Importation_Month,CPF6,Mass,Country,Name,Season_Month,is_right_season
0,1,011111,2,Argentina,ble dur,"[7, 8, 12]",False
1,1,011111,29,Australia,ble dur,"[7, 8, 12]",False
2,2,011111,38,Australia,ble dur,"[7, 8, 12]",False
3,5,011111,1,Australia,ble dur,"[7, 8, 12]",False
4,7,011111,30,Australia,ble dur,"[7, 8, 12]",True
5,8,011111,0,Australia,ble dur,"[7, 8, 12]",True
6,11,011111,0,Australia,ble dur,"[7, 8, 12]",False
7,1,011111,2292,Belgium,ble dur,"[7, 8, 12]",False
8,1,011111,7615,Belgium,ble dur,"[7, 8, 12]",False
9,2,011111,85904,Belgium,ble dur,"[7, 8, 12]",False
10,2,011111,35181,Belgium,ble dur,"[7, 8, 12]",False
11,3,011111,55073,Belgium,ble dur,"[7, 8, 12]",False
12,3,011111,57284,Belgium,ble dur,"[7, 8, 12]",False
13,4,011111,43145,Belgium,ble dur,"[7, 8, 12]",False
14,4,011111,245855,Belgium,ble dur,"[7, 8, 12]",False
15,5,011111,62142,Belgium,ble dur,"[7, 8, 12]",False
16,6,011111,41600,Belgium,ble dur,"[7, 8, 12]",False
17,6,011111,225093,Belgium,ble dur,"[7, 8, 12]",False
18,7,011111,194336,Belgium,ble dur,"[7, 8, 12]",True
19,8,011111,165493,Belgium,ble dur,"[7, 8, 12]",True
20,9,011111,49143,Belgium,ble dur,"[7, 8, 12]",False
21,9,011111,87656,Belgium,ble dur,"[7, 8, 12]",False
22,10,011111,16965,Belgium,ble dur,"[7, 8, 12]",False
23,10,011111,90123,Belgium,ble dur,"[7, 8, 12]",False
24,11,011111,49021,Belgium,ble dur,"[7, 8, 12]",False
25,11,011111,81660,Belgium,ble dur,"[7, 8, 12]",False
26,12,011111,500,Belgium,ble dur,"[7, 8, 12]",True
27,12,011111,391300,Belgium,ble dur,"[7, 8, 12]",True
28,1,011111,2425,Germany,ble dur,"[7, 8, 12]",False
29,1,011111,39255,Germany,ble dur,"[7, 8, 12]",False
30,2,011111,530,Germany,ble dur,"[7, 8, 12]",False
31,2,011111,104102,Germany,ble dur,"[7, 8, 12]",False
32,3,011111,1700,Germany,ble dur,"[7, 8, 12]",False
33,3,011111,312098,Germany,ble dur,"[7, 8, 12]",False
34,4,011111,100,Germany,ble dur,"[7, 8, 12]",False
35,4,011111,555300,Germany,ble dur,"[7, 8, 12]",False
36,5,011111,320,Germany,ble dur,"[7, 8, 12]",False
37,5,011111,648266,Germany,ble dur,"[7, 8, 12]",False
38,6,011111,1340,Germany,ble dur,"[7, 8, 12]",False
39,6,011111,560580,Germany,ble dur,"[7, 8, 12]",False
40,7,011111,200,Germany,ble dur,"[7, 8, 12]",True
41,7,011111,137377,Germany,ble dur,"[7, 8, 12]",True
42,8,011111,52020,Germany,ble dur,"[7, 8, 12]",True
43,8,011111,521367,Germany,ble dur,"[7, 8, 12]",True
44,9,011111,460,Germany,ble dur,"[7, 8, 12]",False
45,9,011111,373450,Germany,ble dur,"[7, 8, 12]",False
46,10,011111,910,Germany,ble dur,"[7, 8, 12]",False
47,10,011111,399162,Germany,ble dur,"[7, 8, 12]",False
48,11,011111,25610,Germany,ble dur,"[7, 8, 12]",False
49,11,011111,1894211,Germany,ble dur,"[7, 8, 12]",False
50,12,011111,27620,Germany,ble dur,"[7, 8, 12]",True
